releaseYear,average_rating
1951.0,8.5
1954.0,7.9
1955.0,8.1
1956.0,7.2
1957.0,7.725
1958.0,7.9
1959.0,7.659999999999999
1960.0,8.0
1961.0,8.45
1962.0,7.6
1963.0,8.350000000000001
1964.0,7.4
1965.0,8.433333333333332
1966.0,7.916666666666667
1967.0,7.533333333333334
1968.0,7.85
1969.0,7.666666666666667
1970.0,7.35
1971.0,7.733333333333333
1972.0,7.033333333333334
1973.0,7.3999999999999995
1974.0,7.033333333333334
1975.0,8.08
1976.0,8.25
1977.0,7.459999999999999
1978.0,8.129999999999999
1979.0,7.75
1980.0,7.6000000000000005
1981.0,7.583333333333333
1982.0,7.714285714285714
1983.0,7.45
1984.0,7.788888888888888
1985.0,6.859999999999999
1986.0,7.3125
1987.0,7.1
1988.0,7.6000000000000005
1989.0,7.533333333333334
1990.0,7.55
1991.0,7.3875
1992.0,7.319047619047619
1993.0,7.652631578947369
1994.0,7.369565217391305
1995.0,7.573333333333333
1996.0,7.323529411764706
1997.0,7.530434782608695
1998.0,7.041379310344827
1999.0,7.323809523809524
2000.0,7.191428571428571
2001.0,7.314285714285714
2002.0,6.921212121212122
2003.0,7.368292682926828
2004.0,7.242105263157894
2005.0,7.16530612244898
2006.0,7.297674418604651
2007.0,7.496153846153846
2008.0,7.224074074074075
2009.0,7.038028169014084
2010.0,7.375949367088608
2011.0,7.087777777777777
2012.0,7.100961538461538
2013.0,7.333333333333333
2014.0,7.242741935483871
2015.0,7.126404494382022
2016.0,7.24375
2017.0,7.122043010752688
2018.0,7.124479166666667
2019.0,6.942592592592592
2020.0,6.88125
2021.0,6.958403361344537
2022.0,6.958881578947368
2023.0,6.873305084745763
2024.0,6.9298245614035086
