releaseYear,average_rating
1966.0,8.4
1968.0,7.7
1969.0,8.1
1971.0,7.9
1973.0,7.2
1975.0,8.0
1976.0,8.3
1978.0,8.8
1979.0,7.5
1980.0,7.65
1981.0,7.4
1983.0,7.2
1984.0,8.2
1985.0,8.3
1986.0,8.1
1987.0,6.8199999999999985
1988.0,6.75
1989.0,8.433333333333334
1990.0,8.299999999999999
1991.0,7.433333333333334
1992.0,7.8625
1993.0,7.6499999999999995
1994.0,7.6
1995.0,7.359999999999999
1996.0,7.859999999999999
1997.0,7.485714285714286
1998.0,7.672727272727273
1999.0,7.840000000000001
2000.0,7.663636363636363
2001.0,7.414285714285714
2002.0,7.753846153846154
2003.0,7.447368421052632
2004.0,7.340909090909091
2005.0,7.7
2006.0,7.425
2007.0,7.357142857142857
2008.0,7.3
2009.0,7.53
2010.0,7.4925
2011.0,7.298275862068966
2012.0,7.424137931034483
2013.0,7.3984375
2014.0,7.354878048780488
2015.0,7.311111111111112
2016.0,7.389772727272727
2017.0,7.20945945945946
2018.0,7.03888888888889
2019.0,7.117195767195768
2020.0,6.921515892420538
2021.0,6.93532008830022
2022.0,6.765321100917431
2023.0,6.855555555555556
2024.0,6.832492997198879
