genre,count
Drama,38518
Romance,11307
Action,13542
Adventure,7473
Sci-Fi,3264
Crime,10321
Thriller,11763
Biography,3581
War,1502
Western,1569
Mystery,6024
Music,2183
Sport,1369
Comedy,23465
Animation,2903
Family,4680
Fantasy,3576
Horror,9761
History,2581
Musical,1134
Documentary,8394
Film-Noir,193
Short,1169
News,97
Reality-TV,27
TV Movie,23
Talk-Show,21
Adult,4
Game-Show,6
Science Fiction,3
