releaseYear,average_rating
1902.0,8.1
1908.0,
1910.0,
1911.0,
1913.0,6.75
1914.0,6.2
1915.0,6.1
1916.0,6.55
1917.0,6.466666666666666
1918.0,6.9
1919.0,6.26
1920.0,6.475
1921.0,7.2
1922.0,7.183333333333334
1923.0,6.844444444444445
1924.0,7.18
1925.0,6.927777777777778
1926.0,7.075
1927.0,7.361111111111111
1928.0,6.894444444444444
1929.0,6.140909090909091
1930.0,6.092307692307693
1931.0,6.458974358974359
1932.0,6.2265625
1933.0,5.9
1934.0,5.685882352941176
1935.0,5.817391304347827
1936.0,5.935514018691589
1937.0,6.072727272727272
1938.0,6.137777777777777
1939.0,6.266990291262136
1940.0,6.225301204819278
1941.0,6.24950495049505
1942.0,6.176
1943.0,6.202061855670103
1944.0,6.1589041095890416
1945.0,6.363157894736842
1946.0,6.481132075471698
1947.0,6.366371681415929
1948.0,6.5131147540983605
1949.0,6.5477477477477475
1950.0,6.5
1951.0,6.463043478260869
1952.0,6.54969696969697
1953.0,6.406951871657753
1954.0,6.292638036809816
1955.0,6.503149606299212
1956.0,6.261271676300578
1957.0,6.424489795918368
1958.0,6.1980676328502415
1959.0,6.0693467336683415
1960.0,6.418407960199005
1961.0,6.119289340101523
1962.0,6.332673267326733
1963.0,6.483333333333333
1964.0,6.280349344978166
1965.0,6.247979797979798
1966.0,6.178222222222222
1967.0,6.093693693693694
1968.0,6.096385542168675
1969.0,5.953389830508475
1970.0,6.069516728624535
1971.0,6.170846394984326
1972.0,6.121958456973293
1973.0,6.05551724137931
1974.0,6.310443037974683
1975.0,6.1429133858267715
1976.0,6.198064516129032
1977.0,6.2387543252595155
1978.0,6.123809523809524
1979.0,6.224050632911392
1980.0,6.168245125348189
1981.0,6.2736994219653175
1982.0,6.109537572254336
1983.0,6.034390243902439
1984.0,6.162025316455696
1985.0,6.2080604534005035
1986.0,6.163255813953488
1987.0,5.914845360824742
1988.0,5.951752577319588
1989.0,5.897674418604651
1990.0,5.988988764044944
1991.0,6.114556962025317
1992.0,6.072340425531915
1993.0,6.134969325153374
1994.0,6.1000000000000005
1995.0,6.0001805054151625
1996.0,6.009090909090909
1997.0,5.971900826446281
1998.0,5.888364249578415
1999.0,5.9507823613086765
2000.0,5.829831387808042
2001.0,5.96783042394015
2002.0,5.976365663322185
2003.0,6.029028571428571
2004.0,6.04029268292683
2005.0,5.9045608108108105
2006.0,5.974845679012345
2007.0,5.983842794759825
2008.0,5.93923875432526
2009.0,5.964794685990339
2010.0,5.944334112149533
2011.0,5.897718052738337
2012.0,5.92884012539185
2013.0,5.923065798987708
2014.0,5.948517160946351
2015.0,5.913327423167849
2016.0,5.9307712765957445
2017.0,5.928484848484849
2018.0,5.899355808460382
2019.0,5.868534926849372
2020.0,5.7218390804597705
2021.0,5.7233595800524935
2022.0,5.8219451371571065
2023.0,5.785308310991957
2024.0,5.753774263120057
2025.0,
