releaseYear,average_rating
1902.0,8.1
1921.0,8.2
1922.0,7.8
1923.0,6.9
1924.0,7.8999999999999995
1925.0,7.733333333333333
1927.0,8.025
1928.0,8.1
1929.0,7.95
1930.0,6.3
1931.0,7.9
1932.0,7.3
1933.0,6.65
1934.0,5.263636363636364
1935.0,5.125
1936.0,6.475
1937.0,7.699999999999999
1938.0,7.75
1939.0,6.8999999999999995
1940.0,6.550000000000001
1941.0,7.275
1942.0,6.9
1943.0,6.840000000000001
1944.0,6.127272727272728
1945.0,6.675
1946.0,6.292307692307692
1947.0,6.1421052631578945
1948.0,6.894444444444444
1949.0,7.17
1950.0,6.92
1951.0,7.0
1952.0,7.033333333333333
1953.0,6.81923076923077
1954.0,6.635483870967741
1955.0,6.8100000000000005
1956.0,6.471052631578948
1957.0,6.539655172413793
1958.0,6.484848484848484
1959.0,6.689130434782609
1960.0,7.012244897959184
1961.0,6.608333333333333
1962.0,6.870731707317073
1963.0,6.8625
1964.0,7.06
1965.0,6.894736842105263
1966.0,6.874
1967.0,6.830555555555556
1968.0,6.804255319148936
1969.0,6.642553191489362
1970.0,6.364
1971.0,6.8229729729729724
1972.0,6.378666666666667
1973.0,6.593103448275862
1974.0,6.812658227848102
1975.0,6.685964912280702
1976.0,6.7671052631578945
1977.0,6.8539682539682545
1978.0,6.914925373134328
1979.0,6.897222222222222
1980.0,6.45578947368421
1981.0,6.72020202020202
1982.0,6.257291666666667
1983.0,6.428455284552846
1984.0,6.439516129032258
1985.0,6.4261904761904765
1986.0,6.525
1987.0,6.24
1988.0,6.260294117647058
1989.0,6.366393442622951
1990.0,6.381481481481481
1991.0,6.611666666666666
1992.0,6.5946428571428575
1993.0,6.74695652173913
1994.0,6.615652173913043
1995.0,6.487857142857142
1996.0,6.535714285714286
1997.0,6.563235294117647
1998.0,6.48595041322314
1999.0,6.372368421052632
2000.0,6.296932515337424
2001.0,6.240259740259741
2002.0,6.2214285714285715
2003.0,6.548275862068966
2004.0,6.31076923076923
2005.0,6.238645418326693
2006.0,6.418819188191882
2007.0,6.560068259385665
2008.0,6.349013157894737
2009.0,6.297520661157025
2010.0,6.343313953488372
2011.0,6.286976744186047
2012.0,6.25079006772009
2013.0,6.3885036496350365
2014.0,6.329120879120879
2015.0,6.3147230320699705
2016.0,6.361538461538461
2017.0,6.3785809906291835
2018.0,6.311455525606469
2019.0,6.363566878980891
2020.0,6.263729809104259
2021.0,6.241763341067285
2022.0,6.228237585199611
2023.0,6.146632782719187
2024.0,6.247079037800687
2025.0,
