releaseYear,average_rating
1902.0,8.1
1908.0,
1910.0,
1911.0,
1913.0,6.5
1914.0,6.2
1915.0,6.1
1916.0,6.55
1917.0,6.050000000000001
1918.0,6.825
1919.0,5.8
1920.0,6.383333333333333
1921.0,7.3
1922.0,7.06
1923.0,6.983333333333333
1924.0,6.7
1925.0,6.766666666666667
1926.0,7.118181818181818
1927.0,7.171428571428572
1928.0,6.892307692307692
1929.0,5.926666666666667
1930.0,6.095833333333334
1931.0,6.33030303030303
1932.0,6.177192982456141
1933.0,5.836734693877551
1934.0,5.752173913043478
1935.0,5.857831325301205
1936.0,5.895918367346939
1937.0,6.037000000000001
1938.0,6.075903614457832
1939.0,6.243333333333333
1940.0,6.213333333333333
1941.0,6.206315789473685
1942.0,6.110227272727273
1943.0,6.098684210526316
1944.0,6.163333333333333
1945.0,6.287209302325582
1946.0,6.549295774647887
1947.0,6.38170731707317
1948.0,6.429032258064516
1949.0,6.465168539325842
1950.0,6.4207207207207215
1951.0,6.405607476635514
1952.0,6.5106557377049175
1953.0,6.271851851851852
1954.0,6.167307692307692
1955.0,6.391358024691359
1956.0,6.189622641509434
1957.0,6.430172413793104
1958.0,6.1
1959.0,5.899236641221374
1960.0,6.2388059701492535
1961.0,5.981818181818182
1962.0,6.174468085106383
1963.0,6.307547169811321
1964.0,6.041104294478528
1965.0,6.101418439716312
1966.0,5.997402597402598
1967.0,5.955621301775148
1968.0,5.973333333333334
1969.0,5.80406976744186
1970.0,5.980526315789473
1971.0,5.994954128440368
1972.0,6.023628691983122
1973.0,5.9118226600985215
1974.0,6.143577981651376
1975.0,5.967428571428571
1976.0,6.021782178217822
1977.0,6.0865
1978.0,5.972429906542056
1979.0,6.073799126637555
1980.0,6.130041152263374
1981.0,6.056807511737089
1982.0,6.019457013574661
1983.0,5.94140625
1984.0,6.049572649572649
1985.0,6.097165991902834
1986.0,5.9931297709923665
1987.0,5.746835443037975
1988.0,5.761812297734628
1989.0,5.715833333333332
1990.0,5.8017667844522975
1991.0,5.904220779220779
1992.0,5.836395759717314
1993.0,5.903003003003003
1994.0,5.929745042492917
1995.0,5.748767123287672
1996.0,5.822619047619048
1997.0,5.770574162679425
1998.0,5.655581947743468
1999.0,5.793673469387755
2000.0,5.654291044776119
2001.0,5.821706864564008
2002.0,5.84750430292599
2003.0,5.842985611510791
2004.0,5.894009216589862
2005.0,5.753617571059432
2006.0,5.795186522262335
2007.0,5.776094276094276
2008.0,5.760487288135593
2009.0,5.836405529953917
2010.0,5.823585726718886
2011.0,5.741705069124424
2012.0,5.827367055771725
2013.0,5.7979570455735985
2014.0,5.836298076923077
2015.0,5.805502183406114
2016.0,5.804294720252167
2017.0,5.794904679376083
2018.0,5.772895077720207
2019.0,5.739859068627451
2020.0,5.547757575757576
2021.0,5.54620663362562
2022.0,5.7050637958532695
2023.0,5.669270346117867
2024.0,5.6108
2025.0,
