genre,count
Drama,9083
Romance,2826
Action,3331
Adventure,2301
Sci-Fi,477
Crime,2852
Thriller,1990
Biography,938
War,265
Western,59
Mystery,1364
Music,523
Sport,410
Comedy,6900
Animation,1815
Family,1020
Fantasy,942
Horror,1173
History,698
Musical,208
Documentary,1867
Film-Noir,10
Short,220
News,10
Reality-TV,321
TV Movie,1
Talk-Show,35
Adult,1
Game-Show,87
