genre,count
Drama,44442
Romance,12644
Action,15429
Adventure,9382
Sci-Fi,3593
Crime,12667
Thriller,12582
Biography,3986
War,1652
Western,1653
Mystery,7186
Music,2412
Sport,1635
Comedy,27354
Animation,5630
Family,5746
Fantasy,4383
Horror,10112
History,3462
Musical,1200
Documentary,10870
Film-Noir,193
Short,1229
News,117
Reality-TV,1253
TV Movie,23
Talk-Show,123
Adult,15
Game-Show,278
Reality,12
Soap,2
Science Fiction,3
Action & Adventure,1
Kids,1
