releaseYear,average_rating
1913.0,7.0
1917.0,7.3
1918.0,7.2
1919.0,6.949999999999999
1920.0,6.75
1921.0,5.7
1923.0,6.4
1926.0,6.6
1928.0,6.1000000000000005
1929.0,6.0600000000000005
1930.0,5.8
1931.0,5.7
1932.0,6.125
1933.0,5.95
1934.0,5.7
1935.0,5.7
1936.0,6.279999999999999
1937.0,6.1125
1938.0,6.5200000000000005
1939.0,5.883333333333333
1940.0,6.125
1941.0,6.25
1942.0,6.485714285714286
1943.0,6.336363636363637
1944.0,6.199999999999999
1945.0,6.4
1946.0,6.488888888888889
1947.0,6.616666666666667
1948.0,6.6
1949.0,6.641666666666667
1950.0,6.625
1951.0,6.55
1952.0,6.392
1953.0,6.696153846153846
1954.0,6.431034482758621
1955.0,6.588235294117647
1956.0,6.28
1957.0,6.342307692307693
1958.0,6.165625
1959.0,6.133333333333333
1960.0,6.404761904761905
1961.0,6.287096774193548
1962.0,6.404761904761905
1963.0,6.51875
1964.0,6.509090909090909
1965.0,6.368181818181818
1966.0,6.307407407407408
1967.0,6.15
1968.0,5.938461538461539
1969.0,5.875
1970.0,6.22258064516129
1971.0,6.154545454545454
1972.0,6.364285714285714
1973.0,6.261111111111111
1974.0,6.352
1975.0,6.492592592592593
1976.0,6.213888888888889
1977.0,6.16774193548387
1978.0,6.1000000000000005
1979.0,6.272
1980.0,6.142424242424242
1981.0,6.5200000000000005
1982.0,6.580555555555556
1983.0,5.855813953488372
1984.0,6.304347826086956
1985.0,6.397058823529412
1986.0,6.3187500000000005
1987.0,6.377551020408164
1988.0,6.553191489361702
1989.0,6.504347826086956
1990.0,6.469230769230769
1991.0,6.525806451612904
1992.0,6.775510204081633
1993.0,6.73
1994.0,6.655555555555555
1995.0,6.7359375
1996.0,6.443548387096774
1997.0,6.506756756756757
1998.0,6.6275
1999.0,6.459756097560976
2000.0,6.442990654205607
2001.0,6.468461538461538
2002.0,6.355555555555555
2003.0,6.394623655913979
2004.0,6.446543778801844
2005.0,6.360096153846154
2006.0,6.337130801687764
2007.0,6.37603305785124
2008.0,6.391633466135458
2009.0,6.3043010752688176
2010.0,6.328859060402684
2011.0,6.33060606060606
2012.0,6.314488636363635
2013.0,6.328888888888889
2014.0,6.3214428857715435
2015.0,6.233276450511945
2016.0,6.270538243626063
2017.0,6.2497630331753555
2018.0,6.2133464180569185
2019.0,6.126764705882353
2020.0,6.066136363636363
2021.0,6.053601694915255
2022.0,6.009661016949153
2023.0,5.997118155619597
2024.0,5.964439655172414
2025.0,
