genre,count
Comedy,4541
Drama,7862
Romance,2626
Mystery,1561
Sci-Fi,499
Action,2118
Crime,2500
Thriller,2161
War,267
Western,312
Sport,227
Music,349
Adventure,1180
Horror,1729
Fantasy,634
Biography,710
Musical,229
History,714
Film-Noir,27
Family,1095
Short,164
Animation,461
Documentary,1896
News,18
Game-Show,67
Talk-Show,41
Reality-TV,345
TV Movie,14
Adult,2
Reality,4
Soap,1
