releaseYear,average_rating
1950.0,7.633333333333333
1951.0,7.599999999999999
1952.0,7.5375
1953.0,7.7
1954.0,7.125
1955.0,7.779999999999999
1956.0,6.966666666666666
1957.0,7.220000000000001
1958.0,7.51111111111111
1959.0,7.5
1960.0,7.357142857142857
1961.0,7.5600000000000005
1962.0,7.5
1963.0,7.216666666666666
1964.0,7.55
1965.0,7.4
1966.0,7.575
1967.0,7.788888888888888
1968.0,7.425
1969.0,7.428571428571429
1970.0,7.3625
1971.0,7.46
1972.0,7.8999999999999995
1973.0,7.271428571428571
1974.0,7.3
1975.0,7.338461538461539
1976.0,7.264285714285714
1977.0,7.145454545454545
1978.0,7.64375
1979.0,7.485714285714286
1980.0,7.605263157894737
1981.0,7.129411764705883
1982.0,7.6875
1983.0,7.385714285714285
1984.0,7.576190476190476
1985.0,7.5636363636363635
1986.0,7.621739130434783
1987.0,7.341379310344828
1988.0,7.42
1989.0,7.263333333333334
1990.0,7.4676470588235295
1991.0,7.184210526315789
1992.0,7.211111111111112
1993.0,6.9837837837837835
1994.0,7.013333333333334
1995.0,7.128571428571428
1996.0,7.131914893617021
1997.0,7.046666666666667
1998.0,7.178125
1999.0,7.165151515151515
2000.0,7.24
2001.0,6.996774193548387
2002.0,7.1499999999999995
2003.0,7.098039215686274
2004.0,7.078448275862069
2005.0,6.992622950819673
2006.0,6.944
2007.0,7.065562913907286
2008.0,6.978260869565218
2009.0,7.050314465408805
2010.0,7.204838709677419
2011.0,7.132211538461538
2012.0,7.084169884169884
2013.0,7.04271186440678
2014.0,7.11070110701107
2015.0,7.155223880597015
2016.0,7.135735735735735
2017.0,7.106232294617564
2018.0,7.101381215469613
2019.0,7.042895442359249
2020.0,7.016417910447761
2021.0,7.014621409921671
2022.0,6.908378378378378
2023.0,6.904010025062656
2024.0,6.759507042253522
2025.0,
